1,Kevin,Garnett,31,PF,18.8,9.2,3.4,1.4,1.3,N/A
2,Sam,Cassell,38,PG,7.6,1.8,2.1,0.5,0.2,FSU
3,James,Posey,31,PF,7.4,4.4,1.5,1.0,0.3,XU
4,Leon,Powe,24,C,7.9,4.1,0.3,0.3,0.3,CAL
5,Brian,Scalabrine,29,PF,1.8,1.6,0.8,0.2,0.2,SoCal
6,Kendrick,Perkins,23,C,6.9,6.1,1.1,0.4,1.5,N/A
7,Ray,Allen,32,SG,17.4,3.7,3.1,0.9,0.2,UCONN
8,Paul,Pierce,30,SF,19.6,5.1,4.5,1.3,0.5,KU
9,Eddie,House,29,PG,7.5,2.1,1.9,0.8,0.1,ASU
10,Gabe,Pruitt,21,PG,2.1,0.5,0.9,0.3,0.0,SoCal
11,Tony,Allen,26,SG,6.6,2.2,1.5,0.8,0.3,OK ST
12,Rajon,Rondo,21,PG,10.6,4.2,5.1,1.7,0.2,UK
13,Glen,Davis,22,C,4.5,3.0,0.4,0.4,0.3,LSU
14,PJ,Brown,38,PF,2.2,3.8,0.6,0.3,0.4,LT
15,Scott,Pollard,32,C,1.8,1.7,0.1,0.1,0.3,KU
